Task ID,Occupation (O*NET-SOC Title),Task,User ID,Date,Self-reported Expertise,Automation Desire Rating,Time,Core Skill Rating,Job Security Rating,Enjoyment Rating,Reasons for Automation Desire - Free Time,Reasons for Automation Desire - Repetitive,Reasons for Automation Desire - Human Error,Reasons for Automation Desire - Stress,Reasons for Automation Desire - Difficulty,Reasons for Automation Desire - Scale,Physical Action Requirement,Interpersonal Communication Requirement,Involved Uncertainty,Domain Expertise Requirement,Human Agency Scale Rating,Reasons for Human Agency - Physical,Reasons for Human Agency - Control,Reasons for Human Agency - Domain Knowledge,Reasons for Human Agency - Empathy,Reasons for Human Agency - Quality Oversight,Reasons for Human Agency - Dynamic,Reasons for Human Agency - Ethical,Other Reason for Automation Desire,Other Reason for Human Agency,Gender,Race,Income,Age,Education,Experience,AI Tedious Work Attitude,AI Job Importance Attitude,AI Daily Interest Attitude,AI Suffering Attitude,Zip Code,Political Affiliation,LLM Familiarity,LLM Use in Work,LLM Usage by Type - Information Access,LLM Usage by Type - Edit,LLM Usage by Type - Idea Generation,LLM Usage by Type - Communication,LLM Usage by Type - Analysis,LLM Usage by Type - Decision,LLM Usage by Type - Coding,LLM Usage by Type - System Design,LLM Usage by Type - Data Processing,Recruitment Source
969,Computer and Information Systems Managers,"Assign and review the work of systems analysts, programmers, and other computer-related workers.",216194e7-e39d-42f9-bf89-af0537983c5f,2025-02-15,Average,4,2,4,2,3,True,False,False,True,False,False,2,2,3,2,1,False,False,False,False,False,False,False,,,Male,Black,30-60K,18,Bachelor’s Degree,1-2 year,Strongly agree,Somewhat agree,Strongly agree,Strongly disagree,37862,Democrat,I use them regularly.,"Yes, I use them every day in my work.",Daily,Weekly,Weekly,Daily,Daily,Weekly,Weekly,Weekly,Monthly,Prolific
969,Computer and Information Systems Managers,"Assign and review the work of systems analysts, programmers, and other computer-related workers.",4ef074b3-f5e8-4480-bc48-bc3e68fda386,2025-02-15,Expert,2,2,3,1,4,False,False,False,False,False,False,2,2,1,1,1,False,False,False,False,False,False,False,,,Male,White,60-86K,27,Bachelor’s Degree,3-5 years,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,92392,Independent,I have some experience using them.,"Yes, I use them every day in my work.",Weekly,Daily,Monthly,Weekly,Weekly,Monthly,Daily,Weekly,Monthly,Prolific
969,Computer and Information Systems Managers,"Assign and review the work of systems analysts, programmers, and other computer-related workers.",6e30e573-eb3e-4fe5-96eb-0753aeb0d41b,2025-02-15,Average,5,1,1,1,1,True,True,False,False,False,True,1,3,2,2,2,False,False,False,False,False,False,False,,,Male,White,86K-165K,48,Bachelor’s Degree,More than 10 years,Strongly agree,Somewhat agree,Somewhat agree,Strongly disagree,60046,Democrat,I use them regularly.,"Yes, I use them every day in my work.",Daily,Weekly,Monthly,Monthly,Weekly,Monthly,Never,Never,Never,Prolific
969,Computer and Information Systems Managers,"Assign and review the work of systems analysts, programmers, and other computer-related workers.",78302b81-4938-4240-8768-e5d1a946c0bc,2025-02-20,Expert,5,5,5,1,5,True,False,True,False,False,True,5,5,5,5,3,False,False,False,False,False,False,False,,,Female,White,86K-165K,44,"Doctorate (e.g., PhD)",More than 10 years,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,,Republican,I use them regularly.,"Yes, I use them every day in my work.",Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Prolific
969,Computer and Information Systems Managers,"Assign and review the work of systems analysts, programmers, and other computer-related workers.",87db9938-ea76-428e-994d-21f371cad1ce,2025-02-15,Average,2,1,3,1,4,False,False,False,False,False,False,1,2,2,2,3,False,False,False,False,False,False,False,,,Male,White,30-60K,36,Master’s Degree,6-10 years,Strongly agree,Strongly disagree,Somewhat agree,Somewhat agree,,Republican,I have some experience using them.,"Yes, I have used them occasionally for specific tasks.",Weekly,Weekly,Monthly,Daily,Weekly,Monthly,Daily,Weekly,Weekly,Prolific
969,Computer and Information Systems Managers,"Assign and review the work of systems analysts, programmers, and other computer-related workers.",9d0bdd60-4ab5-416a-8231-fdcdc4b92b32,2025-02-15,Average,3,2,4,1,3,True,False,False,False,False,True,2,3,3,4,3,False,False,False,False,False,False,False,,,Male,Asian American and Pacific Islander,209K-529K,49,Bachelor’s Degree,More than 10 years,Strongly agree,Somewhat agree,Strongly agree,Somewhat disagree,,Independent,I use them regularly.,"No, I have not used them for any work-related activities.",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Prolific
969,Computer and Information Systems Managers,"Assign and review the work of systems analysts, programmers, and other computer-related workers.",d0439194-692f-47e7-8339-54a9cbfd9d91,2025-02-15,Expert,4,4,5,1,5,True,False,False,False,False,False,1,4,4,5,3,False,False,False,False,False,False,False,,,Male,White,30-60K,49,High School,6-10 years,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,,Democrat,I use them regularly.,"Yes, I use them every day in my work.",Daily,Weekly,Daily,Daily,Daily,Daily,Weekly,Monthly,Weekly,Prolific
969,Computer and Information Systems Managers,"Assign and review the work of systems analysts, programmers, and other computer-related workers.",e2d91683-e436-429f-aaa2-ba6c47d0b288,2025-01-21,Average,5,3,4,4,2,False,True,False,False,True,False,3,4,3,2,3,False,True,False,True,False,True,False,,,Male,Black,30-60K,30,Bachelor’s Degree,6-10 years,Somewhat agree,Strongly disagree,Strongly agree,Strongly disagree,,Democrat,I have some experience using them.,"Yes, I have used them occasionally for specific tasks.",Weekly,Weekly,Weekly,Daily,Daily,Weekly,Daily,Weekly,Weekly,Prolific
969,Computer and Information Systems Managers,"Assign and review the work of systems analysts, programmers, and other computer-related workers.",f7d12a48-ce3a-495e-a132-f4b10ca073ac,2025-02-15,Expert,2,3,4,4,3,False,False,False,False,False,False,1,2,2,4,2,False,False,False,False,False,False,False,,,Male,White,86K-165K,34,Bachelor’s Degree,6-10 years,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,,Democrat,I have some experience using them.,"Yes, I have used them occasionally for specific tasks.",Daily,Weekly,Monthly,Daily,Daily,Daily,Daily,Weekly,Daily,Prolific
969,Computer and Information Systems Managers,"Assign and review the work of systems analysts, programmers, and other computer-related workers.",fb4e42d6-6487-4bcf-98af-99a49f70567a,2025-02-15,Expert,3,3,4,4,3,False,False,False,True,True,True,3,2,2,3,3,False,False,False,False,False,False,False,,,Male,White,165K-209K,49,Master’s Degree,More than 10 years,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,,Republican,I have some experience using them.,"Yes, I have used them occasionally for specific tasks.",Weekly,Daily,Weekly,Weekly,Daily,Weekly,Daily,Weekly,Daily,Prolific
970,Computer and Information Systems Managers,Stay abreast of advances in technology.,051bafa4-57c0-4b01-a4ad-828c78afadfb,2025-02-15,Novice,1,1,2,1,2,False,False,False,False,False,False,1,1,2,2,5,False,False,False,False,False,False,False,,,Male,White,30-60K,54,"Some College, No Degree",More than 10 years,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,14883,Democrat,I have some experience using them.,"Yes, I use them every week in my work.",Weekly,Weekly,Weekly,Weekly,Never,Never,Never,Never,Monthly,Prolific
970,Computer and Information Systems Managers,Stay abreast of advances in technology.,6e30e573-eb3e-4fe5-96eb-0753aeb0d41b,2025-02-15,Average,5,1,1,1,2,False,True,False,True,False,True,1,1,1,1,1,False,False,False,False,False,False,False,,,Male,White,86K-165K,48,Bachelor’s Degree,More than 10 years,Strongly agree,Somewhat agree,Somewhat agree,Strongly disagree,60046,Democrat,I use them regularly.,"Yes, I use them every day in my work.",Daily,Weekly,Monthly,Monthly,Weekly,Monthly,Never,Never,Never,Prolific
970,Computer and Information Systems Managers,Stay abreast of advances in technology.,9d0bdd60-4ab5-416a-8231-fdcdc4b92b32,2025-02-15,Average,4,1,4,1,5,True,False,False,False,False,False,4,1,5,4,5,False,False,False,False,False,False,False,,,Male,Asian American and Pacific Islander,209K-529K,49,Bachelor’s Degree,More than 10 years,Strongly agree,Somewhat agree,Strongly agree,Somewhat disagree,,Independent,I use them regularly.,"No, I have not used them for any work-related activities.",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Prolific
970,Computer and Information Systems Managers,Stay abreast of advances in technology.,ac9969bb-e13d-408a-8092-ef8eee5ad2f5,2025-02-15,Expert,4,1,1,1,1,True,True,False,False,False,False,1,1,1,4,1,False,False,False,False,False,False,False,,,Female,White,165K-209K,44,Master’s Degree,1-2 year,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,,Democrat,I use them regularly.,"Yes, I use them every day in my work.",Never,Weekly,Weekly,Daily,Daily,Never,Monthly,Never,Daily,Prolific
970,Computer and Information Systems Managers,Stay abreast of advances in technology.,c341e4cc-eb09-476d-977b-1bd44b8ef293,2025-02-15,Novice,3,2,2,4,2,False,False,False,False,True,True,2,1,5,2,2,False,False,False,False,False,False,False,,,Male,White,30-60K,33,Bachelor’s Degree,3-5 years,Strongly disagree,Strongly agree,Neither agree nor disagree,Strongly agree,33917,Republican,I have some experience using them.,"No, I have not used them for any work-related activities.",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Prolific
970,Computer and Information Systems Managers,Stay abreast of advances in technology.,d0439194-692f-47e7-8339-54a9cbfd9d91,2025-02-15,Expert,5,4,5,1,5,True,False,False,False,False,False,1,4,3,5,2,False,False,False,False,False,False,False,,,Male,White,30-60K,49,High School,6-10 years,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,,Democrat,I use them regularly.,"Yes, I use them every day in my work.",Daily,Weekly,Daily,Daily,Daily,Daily,Weekly,Monthly,Weekly,Prolific
970,Computer and Information Systems Managers,Stay abreast of advances in technology.,d17e7c1a-c119-4923-b0da-ffd56663a382,2025-02-20,Average,2,2,4,3,4,False,False,False,False,False,False,2,3,2,4,2,False,False,False,False,False,False,False,,,Female,White,60-86K,41,Associate Degree,1-2 year,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,48185,Democrat,I use them regularly.,"Yes, I use them every week in my work.",Daily,Weekly,Daily,Daily,Daily,Daily,Never,Daily,Weekly,Prolific
970,Computer and Information Systems Managers,Stay abreast of advances in technology.,efb4d600-bd0c-4f02-9042-49524da88bd2,2025-02-20,Average,3,2,3,2,3,True,True,False,False,False,False,1,4,4,4,3,False,False,False,False,False,False,False,,,Male,Black,209K-529K,25,Bachelor’s Degree,6-10 years,Strongly agree,Somewhat agree,Strongly agree,Somewhat disagree,19809,Republican,I use them regularly.,"Yes, I use them every day in my work.",Weekly,Daily,Daily,Weekly,Daily,Daily,Daily,Weekly,Daily,Prolific
970,Computer and Information Systems Managers,Stay abreast of advances in technology.,f7d12a48-ce3a-495e-a132-f4b10ca073ac,2025-02-15,Average,4,2,4,1,4,False,False,True,False,False,True,1,1,1,1,1,False,False,False,False,False,False,False,,,Male,White,86K-165K,34,Bachelor’s Degree,6-10 years,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,,Democrat,I have some experience using them.,"Yes, I have used them occasionally for specific tasks.",Daily,Weekly,Monthly,Daily,Daily,Daily,Daily,Weekly,Daily,Prolific
970,Computer and Information Systems Managers,Stay abreast of advances in technology.,fb4e42d6-6487-4bcf-98af-99a49f70567a,2025-02-15,Average,2,1,2,2,1,False,False,False,False,False,False,2,2,1,1,1,False,False,False,False,False,False,False,,,Male,White,165K-209K,49,Master’s Degree,More than 10 years,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,,Republican,I have some experience using them.,"Yes, I have used them occasionally for specific tasks.",Weekly,Daily,Weekly,Weekly,Daily,Weekly,Daily,Weekly,Daily,Prolific
971,Computer and Information Systems Managers,"Develop computer information resources, providing for data security and control, strategic computing, and disaster recovery.",051bafa4-57c0-4b01-a4ad-828c78afadfb,2025-02-15,Average,3,3,4,1,4,True,False,True,False,False,True,2,3,3,3,4,False,False,False,False,False,False,False,,,Male,White,30-60K,54,"Some College, No Degree",More than 10 years,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,14883,Democrat,I have some experience using them.,"Yes, I use them every week in my work.",Weekly,Weekly,Weekly,Weekly,Never,Never,Never,Never,Monthly,Prolific
971,Computer and Information Systems Managers,"Develop computer information resources, providing for data security and control, strategic computing, and disaster recovery.",216194e7-e39d-42f9-bf89-af0537983c5f,2025-02-15,Average,3,4,4,1,2,True,True,False,True,False,False,2,3,4,4,3,False,False,False,False,False,False,False,,,Male,Black,30-60K,18,Bachelor’s Degree,1-2 year,Strongly agree,Somewhat agree,Strongly agree,Strongly disagree,37862,Democrat,I use them regularly.,"Yes, I use them every day in my work.",Daily,Weekly,Weekly,Daily,Daily,Weekly,Weekly,Weekly,Monthly,Prolific
971,Computer and Information Systems Managers,"Develop computer information resources, providing for data security and control, strategic computing, and disaster recovery.",4ef074b3-f5e8-4480-bc48-bc3e68fda386,2025-02-15,Expert,2,3,4,3,4,False,False,False,False,False,False,2,3,4,3,2,False,False,False,False,False,False,False,,,Male,White,60-86K,27,Bachelor’s Degree,3-5 years,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,92392,Independent,I have some experience using them.,"Yes, I use them every day in my work.",Weekly,Daily,Monthly,Weekly,Weekly,Monthly,Daily,Weekly,Monthly,Prolific
971,Computer and Information Systems Managers,"Develop computer information resources, providing for data security and control, strategic computing, and disaster recovery.",6e30e573-eb3e-4fe5-96eb-0753aeb0d41b,2025-02-15,Average,4,1,2,2,3,True,False,False,False,True,False,1,3,4,4,3,False,False,False,False,False,False,False,,,Male,White,86K-165K,48,Bachelor’s Degree,More than 10 years,Strongly agree,Somewhat agree,Somewhat agree,Strongly disagree,60046,Democrat,I use them regularly.,"Yes, I use them every day in my work.",Daily,Weekly,Monthly,Monthly,Weekly,Monthly,Never,Never,Never,Prolific
971,Computer and Information Systems Managers,"Develop computer information resources, providing for data security and control, strategic computing, and disaster recovery.",78302b81-4938-4240-8768-e5d1a946c0bc,2025-02-20,Novice,5,5,5,5,5,True,False,True,False,False,True,5,5,5,5,3,False,False,False,False,False,False,False,,,Female,White,86K-165K,44,"Doctorate (e.g., PhD)",More than 10 years,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,,Republican,I use them regularly.,"Yes, I use them every day in my work.",Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Prolific
971,Computer and Information Systems Managers,"Develop computer information resources, providing for data security and control, strategic computing, and disaster recovery.",9d0bdd60-4ab5-416a-8231-fdcdc4b92b32,2025-02-15,Average,4,1,4,4,2,True,False,False,False,False,False,1,1,2,4,2,False,False,False,False,False,False,False,,,Male,Asian American and Pacific Islander,209K-529K,49,Bachelor’s Degree,More than 10 years,Strongly agree,Somewhat agree,Strongly agree,Somewhat disagree,,Independent,I use them regularly.,"No, I have not used them for any work-related activities.",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Prolific
971,Computer and Information Systems Managers,"Develop computer information resources, providing for data security and control, strategic computing, and disaster recovery.",c341e4cc-eb09-476d-977b-1bd44b8ef293,2025-02-15,Average,5,2,1,3,2,False,False,True,False,False,False,3,2,2,3,2,False,False,False,False,False,False,False,,,Male,White,30-60K,33,Bachelor’s Degree,3-5 years,Strongly disagree,Strongly agree,Neither agree nor disagree,Strongly agree,33917,Republican,I have some experience using them.,"No, I have not used them for any work-related activities.",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Prolific
971,Computer and Information Systems Managers,"Develop computer information resources, providing for data security and control, strategic computing, and disaster recovery.",d0439194-692f-47e7-8339-54a9cbfd9d91,2025-02-15,Expert,3,4,5,1,5,False,False,True,False,False,False,1,4,4,5,3,False,False,False,False,False,False,False,,,Male,White,30-60K,49,High School,6-10 years,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,,Democrat,I use them regularly.,"Yes, I use them every day in my work.",Daily,Weekly,Daily,Daily,Daily,Daily,Weekly,Monthly,Weekly,Prolific
971,Computer and Information Systems Managers,"Develop computer information resources, providing for data security and control, strategic computing, and disaster recovery.",e2d91683-e436-429f-aaa2-ba6c47d0b288,2025-01-21,Novice,4,4,3,2,1,False,True,False,True,False,False,3,4,2,3,3,True,True,False,False,False,True,False,,,Male,Black,30-60K,30,Bachelor’s Degree,6-10 years,Somewhat agree,Strongly disagree,Strongly agree,Strongly disagree,,Democrat,I have some experience using them.,"Yes, I have used them occasionally for specific tasks.",Weekly,Weekly,Weekly,Daily,Daily,Weekly,Daily,Weekly,Weekly,Prolific
971,Computer and Information Systems Managers,"Develop computer information resources, providing for data security and control, strategic computing, and disaster recovery.",fb4e42d6-6487-4bcf-98af-99a49f70567a,2025-02-15,Expert,3,2,1,2,3,True,False,True,False,True,True,2,3,1,3,3,False,False,False,False,False,False,False,,,Male,White,165K-209K,49,Master’s Degree,More than 10 years,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,,Republican,I have some experience using them.,"Yes, I have used them occasionally for specific tasks.",Weekly,Daily,Weekly,Weekly,Daily,Weekly,Daily,Weekly,Daily,Prolific
972,Computer and Information Systems Managers,Review and approve all systems charts and programs prior to their implementation.,216194e7-e39d-42f9-bf89-af0537983c5f,2025-02-15,Average,1,2,5,1,2,False,False,False,False,False,False,4,2,3,3,3,False,False,False,False,False,False,False,,,Male,Black,30-60K,18,Bachelor’s Degree,1-2 year,Strongly agree,Somewhat agree,Strongly agree,Strongly disagree,37862,Democrat,I use them regularly.,"Yes, I use them every day in my work.",Daily,Weekly,Weekly,Daily,Daily,Weekly,Weekly,Weekly,Monthly,Prolific
972,Computer and Information Systems Managers,Review and approve all systems charts and programs prior to their implementation.,4ef074b3-f5e8-4480-bc48-bc3e68fda386,2025-02-15,Average,1,1,3,1,4,False,False,False,False,False,False,3,3,4,4,1,False,False,False,False,False,False,False,,,Male,White,60-86K,27,Bachelor’s Degree,3-5 years,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,92392,Independent,I have some experience using them.,"Yes, I use them every day in my work.",Weekly,Daily,Monthly,Weekly,Weekly,Monthly,Daily,Weekly,Monthly,Prolific
972,Computer and Information Systems Managers,Review and approve all systems charts and programs prior to their implementation.,78302b81-4938-4240-8768-e5d1a946c0bc,2025-02-20,Expert,5,5,5,5,5,True,False,True,False,False,True,5,5,5,5,3,False,False,False,False,False,False,False,,,Female,White,86K-165K,44,"Doctorate (e.g., PhD)",More than 10 years,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,,Republican,I use them regularly.,"Yes, I use them every day in my work.",Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Prolific
972,Computer and Information Systems Managers,Review and approve all systems charts and programs prior to their implementation.,87db9938-ea76-428e-994d-21f371cad1ce,2025-02-15,Expert,2,2,3,2,3,False,False,False,False,False,False,2,2,2,3,3,False,False,False,False,False,False,False,,,Male,White,30-60K,36,Master’s Degree,6-10 years,Strongly agree,Strongly disagree,Somewhat agree,Somewhat agree,,Republican,I have some experience using them.,"Yes, I have used them occasionally for specific tasks.",Weekly,Weekly,Monthly,Daily,Weekly,Monthly,Daily,Weekly,Weekly,Prolific
972,Computer and Information Systems Managers,Review and approve all systems charts and programs prior to their implementation.,d0439194-692f-47e7-8339-54a9cbfd9d91,2025-02-15,Expert,5,4,5,1,5,True,False,False,False,False,False,1,5,4,5,3,False,False,False,False,False,False,False,,,Male,White,30-60K,49,High School,6-10 years,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,,Democrat,I use them regularly.,"Yes, I use them every day in my work.",Daily,Weekly,Daily,Daily,Daily,Daily,Weekly,Monthly,Weekly,Prolific
972,Computer and Information Systems Managers,Review and approve all systems charts and programs prior to their implementation.,d17e7c1a-c119-4923-b0da-ffd56663a382,2025-02-20,Average,2,3,4,3,4,False,False,False,False,False,False,2,3,3,4,2,False,False,False,False,False,False,False,,,Female,White,60-86K,41,Associate Degree,1-2 year,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,48185,Democrat,I use them regularly.,"Yes, I use them every week in my work.",Daily,Weekly,Daily,Daily,Daily,Daily,Never,Daily,Weekly,Prolific
972,Computer and Information Systems Managers,Review and approve all systems charts and programs prior to their implementation.,e2d91683-e436-429f-aaa2-ba6c47d0b288,2025-01-21,Average,3,3,4,4,2,False,False,False,False,False,False,4,4,2,2,4,False,False,False,True,False,True,False,,,Male,Black,30-60K,30,Bachelor’s Degree,6-10 years,Somewhat agree,Strongly disagree,Strongly agree,Strongly disagree,,Democrat,I have some experience using them.,"Yes, I have used them occasionally for specific tasks.",Weekly,Weekly,Weekly,Daily,Daily,Weekly,Daily,Weekly,Weekly,Prolific
972,Computer and Information Systems Managers,Review and approve all systems charts and programs prior to their implementation.,f7d12a48-ce3a-495e-a132-f4b10ca073ac,2025-02-15,Expert,1,3,4,3,3,False,False,False,False,False,False,3,4,2,2,4,False,False,False,False,False,False,False,,,Male,White,86K-165K,34,Bachelor’s Degree,6-10 years,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,,Democrat,I have some experience using them.,"Yes, I have used them occasionally for specific tasks.",Daily,Weekly,Monthly,Daily,Daily,Daily,Daily,Weekly,Daily,Prolific
