Occupation (O*NET-SOC Title),Task,Friction Score,Flag,Main Reason
Geographic Information Systems Technologists and Technicians,"Design or prepare graphic representations of Geographic Information Systems (GIS) data, using GIS hardware or software applications.",0.0,Xanh,Không rõ
Geographic Information Systems Technologists and Technicians,Maintain or modify existing Geographic Information Systems (GIS) databases.,0.0,Xanh,Không rõ
Geographic Information Systems Technologists and Technicians,"Perform computer programming, data analysis, or software development for Geographic Information Systems (GIS) applications, including the maintenance of existing systems or research and development for future enhancements.",0.0,Xanh,Không rõ
Geographic Information Systems Technologists and Technicians,"Enter data into Geographic Information Systems (GIS) databases, using techniques such as coordinate geometry, keyboard entry of tabular data, manual digitizing of maps, scanning or automatic conversion to vectors, or conversion of other sources of digital data.",0.0,Xanh,Không rõ
Geographic Information Systems Technologists and Technicians,"Review existing or incoming data for currency, accuracy, usefulness, quality, or completeness of documentation.",0.0,Xanh,Không rõ
Geographic Information Systems Technologists and Technicians,"Perform geospatial data building, modeling, or analysis, using advanced spatial analysis, data manipulation, or cartography software.",0.0,Xanh,Không rõ
Geographic Information Systems Technologists and Technicians,Design or coordinate the development of integrated Geographic Information Systems (GIS) spatial or non-spatial databases.,0.0,Xanh,Không rõ
Geographic Information Systems Technologists and Technicians,Perform integrated or computerized Geographic Information Systems (GIS) analyses to address scientific problems.,0.0,Xanh,Không rõ
Geographic Information Systems Technologists and Technicians,Select cartographic elements needed for effective presentation of information.,0.0,Xanh,Không rõ
Geographic Information Systems Technologists and Technicians,"Provide technical support to users or clients regarding the maintenance, development, or operation of Geographic Information Systems (GIS) databases, equipment, or applications.",0.0,Xanh,Không rõ
Geographic Information Systems Technologists and Technicians,Interpret aerial or ortho photographs.,0.0,Xanh,Không rõ
Geographic Information Systems Technologists and Technicians,"Document, design, code, or test Geographic Information Systems (GIS) models, internet mapping solutions, or other applications.",0.0,Xanh,Không rõ
Geographic Information Systems Technologists and Technicians,"Create, analyze, report, convert, or transfer data, using specialized applications program software.",0.0,Xanh,Không rõ
Geographic Information Systems Technologists and Technicians,"Design, program, or model Geographic Information Systems (GIS) applications or procedures.",0.0,Xanh,Không rõ
Geographic Information Systems Technologists and Technicians,"Create visual representations of geospatial data, using complex procedures such as analytical modeling, three-dimensional renderings, or plot creation.",0.0,Xanh,Không rõ
Geographic Information Systems Technologists and Technicians,Transfer or rescale information from original photographs onto maps or other photographs.,0.0,Xanh,Không rõ
Information Security Analysts,"Develop plans to safeguard computer files against accidental or unauthorized modification, destruction, or disclosure and to meet emergency data processing needs.",0.0,Xanh,Không rõ
Information Security Analysts,Monitor current reports of computer viruses to determine when to update virus protection systems.,0.0,Xanh,Không rõ
Information Security Analysts,"Modify computer security files to incorporate new software, correct errors, or change individual access status.",0.0,Xanh,Không rõ
Information Security Analysts,Monitor use of data files and regulate access to safeguard information in computer files.,0.0,Xanh,Không rõ
Information Security Analysts,"Document computer security and emergency measures policies, procedures, and tests.",0.0,Xanh,Không rõ
Information Technology Project Managers,Perform risk assessments to develop response strategies.,0.0,Xanh,Không rõ
Information Technology Project Managers,"Submit project deliverables, ensuring adherence to quality standards.",0.0,Xanh,Không rõ
Information Technology Project Managers,Monitor or track project milestones and deliverables.,0.0,Xanh,Không rõ
Information Technology Project Managers,"Initiate, review, or approve modifications to project plans.",0.0,Xanh,Không rõ
Information Technology Project Managers,"Assign duties, responsibilities, and spans of authority to project personnel.",0.0,Xanh,Không rõ
Information Technology Project Managers,"Prepare project status reports by collecting, analyzing, and summarizing information and trends.",0.0,Xanh,Không rõ
Information Technology Project Managers,"Develop or update project plans for information technology projects including information such as project objectives, technologies, systems, information specifications, schedules, funding, and staffing.",0.0,Xanh,Không rõ
Information Technology Project Managers,Develop and manage work breakdown structure (WBS) of information technology projects.,0.0,Xanh,Không rõ
Network and Computer Systems Administrators,Perform data backups and disaster recovery operations.,0.0,Xanh,Không rõ
Network and Computer Systems Administrators,"Maintain and administer computer networks and related computing environments, including computer hardware, systems software, applications software, and all configurations.",0.0,Xanh,Không rõ
Network and Computer Systems Administrators,"Plan, coordinate, and implement network security measures to protect data, software, and hardware.",0.0,Xanh,Không rõ
Network and Computer Systems Administrators,Operate master consoles to monitor the performance of computer systems and networks and to coordinate computer network access and use.,0.0,Xanh,Không rõ
Network and Computer Systems Administrators,"Perform routine network startup and shutdown procedures, and maintain control records.",0.0,Xanh,Không rõ
Network and Computer Systems Administrators,"Design, configure, and test computer hardware, networking software and operating system software.",0.0,Xanh,Không rõ
Network and Computer Systems Administrators,"Recommend changes to improve systems and network configurations, and determine hardware or software requirements related to such changes.",0.0,Xanh,Không rõ
Network and Computer Systems Administrators,Monitor network performance to determine whether adjustments are needed and where changes will be needed in the future.,0.0,Xanh,Không rõ
Network and Computer Systems Administrators,"Gather data pertaining to customer needs, and use the information to identify, predict, interpret, and evaluate system and network requirements.",0.0,Xanh,Không rõ
Network and Computer Systems Administrators,Analyze equipment performance records to determine the need for repair or replacement.,0.0,Xanh,Không rõ
Network and Computer Systems Administrators,"Maintain logs related to network functions, as well as maintenance and repair records.",0.0,Xanh,Không rõ
Network and Computer Systems Administrators,"Configure, monitor, and maintain email applications or virus protection software.",0.0,Xanh,Không rõ
Network and Computer Systems Administrators,"Implement and provide technical support for voice services and equipment, such as private branch exchange, voice mail system, and telecom system.",0.0,Xanh,Không rõ
Software Quality Assurance Analysts and Testers,"Design test plans, scenarios, scripts, or procedures.",0.0,Xanh,Không rõ
Software Quality Assurance Analysts and Testers,Test system modifications to prepare for implementation.,0.0,Xanh,Không rõ
Software Quality Assurance Analysts and Testers,"Develop testing programs that address areas such as database impacts, software scenarios, regression testing, negative testing, error or bug retests, or usability.",0.0,Xanh,Không rõ
Software Quality Assurance Analysts and Testers,"Document software defects, using a bug tracking system, and report defects to software developers.",0.0,Xanh,Không rõ
Software Quality Assurance Analysts and Testers,"Identify, analyze, and document problems with program function, output, online screen, or content.",0.0,Xanh,Không rõ
Software Quality Assurance Analysts and Testers,Monitor bug resolution efforts and track successes.,0.0,Xanh,Không rõ
Software Quality Assurance Analysts and Testers,Create or maintain databases of known test defects.,0.0,Xanh,Không rõ
Software Quality Assurance Analysts and Testers,Plan test schedules or strategies in accordance with project scope or delivery dates.,0.0,Xanh,Không rõ
Software Quality Assurance Analysts and Testers,"Review software documentation to ensure technical accuracy, compliance, or completeness, or to mitigate risks.",0.0,Xanh,Không rõ
Software Quality Assurance Analysts and Testers,Document test procedures to ensure replicability and compliance with standards.,0.0,Xanh,Không rõ
Software Quality Assurance Analysts and Testers,"Develop or specify standards, methods, or procedures to determine product quality or release readiness.",0.0,Xanh,Không rõ
Software Quality Assurance Analysts and Testers,Update automated test scripts to ensure currency.,0.0,Xanh,Không rõ
Software Quality Assurance Analysts and Testers,"Install, maintain, or use software testing programs.",0.0,Xanh,Không rõ
Software Quality Assurance Analysts and Testers,Provide feedback and recommendations to developers on software usability and functionality.,0.0,Xanh,Không rõ
Software Quality Assurance Analysts and Testers,Monitor program performance to ensure efficient and problem-free operations.,0.0,Xanh,Không rõ
Software Quality Assurance Analysts and Testers,"Conduct software compatibility tests with programs, hardware, operating systems, or network environments.",0.0,Xanh,Không rõ
Software Quality Assurance Analysts and Testers,"Identify program deviance from standards, and suggest modifications to ensure compliance.",0.0,Xanh,Không rõ
Software Quality Assurance Analysts and Testers,"Perform initial debugging procedures by reviewing configuration files, logs, or code pieces to determine breakdown source.",0.0,Xanh,Không rõ
Software Quality Assurance Analysts and Testers,Conduct historical analyses of test results.,0.0,Xanh,Không rõ
Web Administrators,Back up or modify applications and related data to provide for disaster recovery.,0.0,Xanh,Không rõ
Web Administrators,"Determine sources of Web page or server problems, and take action to correct such problems.",0.0,Xanh,Không rõ
Web Administrators,"Review or update Web page content or links in a timely manner, using appropriate tools.",0.0,Xanh,Không rõ
Web Administrators,"Monitor systems for intrusions or denial of service attacks, and report security breaches to appropriate personnel.",0.0,Xanh,Không rõ
Web Administrators,"Administer internet or intranet infrastructure, including Web, file, and mail servers.",0.0,Xanh,Không rõ
Web Administrators,"Implement updates, upgrades, and patches in a timely manner to limit loss of service.",0.0,Xanh,Không rõ
Web Administrators,"Collaborate with Web developers to create and operate internal and external Web sites, or to manage projects, such as e-marketing campaigns.",0.0,Xanh,Không rõ
Web Administrators,"Install or configure Web server software or hardware to ensure that directory structure is well-defined, logical, and secure, and that files are named properly.",0.0,Xanh,Không rõ
Web Administrators,"Gather, analyze, or document user feedback to locate or resolve sources of problems.",0.0,Xanh,Không rõ
Web Administrators,Develop Web site performance metrics.,0.0,Xanh,Không rõ
Web Administrators,Identify or address interoperability requirements.,0.0,Xanh,Không rõ
Web Administrators,"Track, compile, and analyze Web site usage data.",0.0,Xanh,Không rõ
Web Administrators,"Test issues such as system integration, performance, and system security on a regular schedule or after any major program modifications.",0.0,Xanh,Không rõ
Web Administrators,"Correct testing-identified problems, or recommend actions for their resolution.",0.0,Xanh,Không rõ
Web Administrators,Set up or maintain monitoring tools on Web servers or Web sites.,0.0,Xanh,Không rõ
Web Administrators,Develop testing routines and procedures.,0.0,Xanh,Không rõ
Web Developers,"Design, build, or maintain Web sites, using authoring or scripting languages, content creation tools, management tools, and digital media.",0.0,Xanh,Không rõ
Web Developers,Perform or direct Web site updates.,0.0,Xanh,Không rõ
Web Developers,Back up files from Web sites to local directories for instant recovery in case of problems.,0.0,Xanh,Không rõ
Web Developers,"Evaluate code to ensure that it is valid, is properly structured, meets industry standards, and is compatible with browsers, devices, or operating systems.",0.0,Xanh,Không rõ
Web Developers,Write supporting code for Web applications or Web sites.,0.0,Xanh,Không rõ
Web Developers,Communicate with network personnel or Web site hosting agencies to address hardware or software issues affecting Web sites.,0.0,Xanh,Không rõ
Web Developers,"Perform Web site tests according to planned schedules, or after any Web site or product revision.",0.0,Xanh,Không rõ
Web Developers,"Respond to user email inquiries, or set up automated systems to send responses.",0.0,Xanh,Không rõ
Web Developers,Develop or implement procedures for ongoing Web site revision.,0.0,Xanh,Không rõ
Web Developers,Establish appropriate server directory trees.,0.0,Xanh,Không rõ
Web Developers,Recommend and implement performance improvements.,0.0,Xanh,Không rõ
Web Developers,"Provide clear, detailed descriptions of Web site specifications, such as product features, activities, software, communication protocols, programming languages, and operating systems software and hardware.",0.0,Xanh,Không rõ
Web Developers,Monitor security system performance logs to identify problems and notify security specialists when problems occur.,0.0,Xanh,Không rõ
